dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,baseline_prop_choose_long_term,baseline_prop_choose_immediate,baseline_prop_choose_long_term_no_fallback,baseline_prop_choose_immediate_no_fallback,baseline_mean_long_minus_immediate_avg_logprob,baseline_prop_logprob_prefers_long_term,delta_long_term_vs_baseline,delta_immediate_vs_baseline,delta_long_term_vs_baseline_no_fallback,delta_immediate_vs_baseline_no_fallback,delta_long_minus_immediate_avg_logprob_vs_baseline,delta_prop_logprob_prefers_long_term_vs_baseline,steering_success,steering_success_no_fallback,n_prompts,n_no_fallback_prompts,prop_choose_long_term,prop_choose_immediate,prop_choose_long_term_no_fallback,prop_choose_immediate_no_fallback,fallback_rate,direct_parse_rate,mean_long_minus_immediate_avg_logprob,mean_long_minus_immediate_sum_logprob,prop_logprob_prefers_long_term
explicit_test,mm,steer_immediate,20,16.0,-16.0,16.290969848632812,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.010000000000000009,0.009999999999999953,-0.010101010101010055,0.01010101010101011,-0.013373155840672557,0.0,0.35,0.3434343434343434,100,99,0.65,0.35,0.6565656565656566,0.3434343434343434,0.01,0.99,0.23208767609205097,0.7808022628724575,0.67
explicit_test,mm,steer_long_term,24,1.0,1.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.008317475253716095,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2537783071864396,0.875158138871193,0.67
explicit_test,mm,steer_immediate,24,1.0,-1.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.007947440315037968,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.23751339161768556,0.8093417267128825,0.67
explicit_test,mm,steer_long_term,24,2.0,2.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.016401548855938003,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.26186238078866153,0.9081407228857279,0.67
explicit_test,mm,steer_immediate,24,2.0,-2.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.016511578946374367,-0.010000000000000009,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.22894925298634916,0.7742535919696093,0.66
explicit_test,mm,steer_long_term,24,4.0,4.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.03184710431378332,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.27730793624650685,0.9704812144115568,0.67
explicit_test,mm,steer_immediate,24,4.0,-4.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.03338723930064588,-0.010000000000000009,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.21207359263207765,0.7055096568539738,0.66
explicit_test,mm,steer_long_term,24,8.0,8.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.020000000000000018,-0.020000000000000018,0.02020202020202022,-0.020202020202020166,0.06307496650144459,0.019999999999999907,0.68,0.6868686868686869,100,99,0.68,0.32,0.6868686868686869,0.31313131313131315,0.01,0.99,0.3085357984341681,1.095783859193325,0.69
explicit_test,mm,steer_immediate,24,8.0,-8.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.050000000000000044,0.04999999999999999,-0.0505050505050505,0.0505050505050505,-0.06836766770575195,-0.030000000000000027,0.39,0.3838383838383838,100,99,0.61,0.39,0.6161616161616161,0.3838383838383838,0.01,0.99,0.17709316422697158,0.5615289353206754,0.64
explicit_test,mm,steer_long_term,24,16.0,16.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.039999999999999925,-0.040000000000000036,0.04040404040404044,-0.04040404040404039,0.11984355116728693,0.039999999999999925,0.7,0.7070707070707071,100,99,0.7,0.3,0.7070707070707071,0.29292929292929293,0.01,0.99,0.36530438310001045,1.3215400932170451,0.71
explicit_test,mm,steer_immediate,24,16.0,-16.0,18.09175682067871,0.9999999403953552,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.10999999999999999,0.10999999999999999,-0.11111111111111105,0.1111111111111111,-0.14231843325775118,-0.050000000000000044,0.45,0.4444444444444444,100,99,0.55,0.45,0.5555555555555556,0.4444444444444444,0.01,0.99,0.10314239867497235,0.2561434960365295,0.62
explicit_test,mm,steer_long_term,28,1.0,1.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.01629031355027108,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2617511454829946,0.9074286986142397,0.67
explicit_test,mm,steer_immediate,28,1.0,-1.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.01570894883945584,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2297518830932677,0.7783913060277701,0.67
explicit_test,mm,steer_long_term,28,2.0,2.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.03163014842662962,0.010000000000000009,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.27709098035935315,0.969264785591513,0.68
explicit_test,mm,steer_immediate,28,2.0,-2.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.020000000000000018,0.019999999999999962,-0.02020202020202011,0.02020202020202022,-0.031597178895026445,-0.010000000000000009,0.36,0.35353535353535354,100,99,0.64,0.36,0.6464646464646465,0.35353535353535354,0.01,0.99,0.21386365303769708,0.7137383736670018,0.66
explicit_test,mm,steer_long_term,28,4.0,4.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.020000000000000018,-0.020000000000000018,0.02020202020202022,-0.020202020202020166,0.06296095573808999,0.019999999999999907,0.68,0.6868686868686869,100,99,0.68,0.32,0.6868686868686869,0.31313131313131315,0.01,0.99,0.3084217876708135,1.095936617925763,0.69
explicit_test,mm,steer_immediate,28,4.0,-4.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.020000000000000018,0.019999999999999962,-0.02020202020202011,0.02020202020202022,-0.06422890332061798,-0.020000000000000018,0.36,0.35353535353535354,100,99,0.64,0.36,0.6464646464646465,0.35353535353535354,0.01,0.99,0.18123192861210555,0.5813989392668009,0.65
explicit_test,mm,steer_long_term,28,8.0,8.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.039999999999999925,-0.040000000000000036,0.04040404040404044,-0.04040404040404039,0.1247592471214011,0.04999999999999993,0.7,0.7070707070707071,100,99,0.7,0.3,0.7070707070707071,0.29292929292929293,0.01,0.99,0.37022007905412463,1.345772379618138,0.72
explicit_test,mm,steer_immediate,28,8.0,-8.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.09000000000000008,0.08999999999999997,-0.09090909090909083,0.09090909090909094,-0.13069781285244972,-0.06000000000000005,0.43,0.42424242424242425,100,99,0.57,0.43,0.5757575757575758,0.42424242424242425,0.01,0.99,0.11476301908027381,0.31170186258852484,0.61
explicit_test,mm,steer_long_term,28,16.0,16.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.07999999999999996,-0.08000000000000002,0.07333333333333336,-0.0733333333333333,0.24066154483705757,0.05999999999999994,0.74,0.74,100,100,0.74,0.26,0.74,0.26,0.0,1.0,0.4861223767697811,1.814751342870295,0.73
explicit_test,mm,steer_immediate,28,16.0,-16.0,23.30733871459961,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,-0.23000000000000004,0.22999999999999993,-0.23232323232323226,0.23232323232323232,-0.27523681336082517,-0.21000000000000002,0.57,0.5656565656565656,100,99,0.43,0.57,0.43434343434343436,0.5656565656565656,0.01,0.99,-0.02977598142810166,-0.27757936116307974,0.46
explicit_test,mm,steer_long_term,32,1.0,1.0,30.687641143798828,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.0073023655824363265,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.25276319751515985,0.8703222295641899,0.67
explicit_test,mm,steer_immediate,32,1.0,-1.0,30.687641143798828,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,-0.00676226960495116,0.0,0.34,0.3333333333333333,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.23869856232777237,0.8146355272829533,0.67
explicit_test,mm,steer_long_term,32,2.0,2.0,30.687641143798828,1.0,0.66,0.34,0.6666666666666666,0.3333333333333333,0.24546083193272353,0.67,0.0,0.0,0.0,0.0,0.014193735816515979,0.0,0.66,0.6666666666666666,100,99,0.66,0.34,0.6666666666666666,0.3333333333333333,0.01,0.99,0.2596545677492395,0.898260794300586,0.67
